,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Município,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
0,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,350010 Adamantina,0,0,0,0,0,0,0,0,0,0,0,0,0
1,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020 Adolfo,0,0,0,0,0,0,0,0,0,0,0,0,0
2,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030 Aguaí,0,0,0,0,0,0,0,0,0,0,0,0,0
3,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040 Águas da Prata,0,0,0,0,0,0,0,0,0,0,0,0,0
4,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050 Águas de Lindóia,0,0,0,0,0,0,0,0,0,0,0,0,0
5,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350055 Águas de Santa Bárbara,0,0,0,0,0,0,0,0,0,0,0,0,0
6,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,350060 Águas de São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6,Bauru,XV,BAURU,35062,BAURU,350070 Agudos,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,350075 Alambari,0,0,0,0,0,0,0,0,0,0,0,0,0
9,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350080 Alfredo Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,350090 Altair,0,0,0,0,0,0,0,0,0,0,0,0,0
11,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350100 Altinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350110 Alto Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,350115 Alumínio,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,350120 Álvares Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
15,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350130 Álvares Machado,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,350140 Álvaro de Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,350150 Alvinlândia,0,0,0,0,0,0,0,0,0,0,0,0,0
18,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,350160 Americana,0,0,0,0,0,0,0,0,1,0,0,0,0
19,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,350170 Américo Brasiliense,0,0,0,0,0,0,0,0,0,0,0,0,0
