,Num_DRS,DRS,Num_GVE,GVE,Num_Região_Saúde,RegiãodeSaúde,Num_Municipio
0,9,Marília,XIX,MARÍLIA,35091,ADAMANTINA,350010
1,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35156,JOSÉ BONIFÁCIO,350020
2,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350030
3,14,São João da Boa Vista,XXVI,SÃO JOÃO DA BOA VISTA,35142,MANTIQUEIRA,350040
4,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350050
5,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350055
6,10,Piracicaba,XX,PIRACICABA,35103,PIRACICABA,350060
7,6,Bauru,XV,BAURU,35062,BAURU,350070
8,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,350075
9,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350080
10,5,Barretos,XIV,BARRETOS,35051,NORTE-BARRETOS,350090
11,13,Riberão Preto,XXIV,RIBEIRÃO PRETO,35133,VALE DAS CACHOEIRAS,350100
12,2,Araçatuba,XI,ARAÇATUBA,35023,CONSÓRCIOS DO DRS II,350110
13,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,350115
14,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,350120
15,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350130
16,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,350140
17,9,Marília,XIX,MARÍLIA,35093,MARÍLIA,350150
18,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,350160
19,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,350170
20,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35157,VOTUPORANGA,350180
21,7,Campinas,XVII,CAMPINAS,35074,CIRCUITO DAS AGUAS,350190
22,10,Piracicaba,XX,PIRACICABA,35104,RIO CLARO,350200
23,2,Araçatuba,XI,ARAÇATUBA,35022,LAGOS DO DRS II,350210
24,16,Sorocaba,XXXI,SOROCABA,35161,ITAPETININGA,350220
25,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,350230
26,11,Presidente Prudente,XXI,PRESIDENTE PRUDENTE,35112,ALTA SOROCABANA,350240
27,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350250
28,15,São José do Rio Preto,XXX,JALES,35153,JALES,350260
29,16,Sorocaba,XXXII,ITAPEVA,35162,ITAPEVA,350270
30,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,350275
31,2,Araçatuba,XI,ARAÇATUBA,35021,CENTRAL DO DRS II,350280
32,16,Sorocaba,XXXI,SOROCABA,35163,SOROCABA,350290
33,8,Franca,XVIII,FRANCA,35083,ALTA MOGIANA,350300
34,6,Bauru,XVI,BOTUCATU,35061,VALE DO JURUMIRIM,350310
35,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350315
36,3,Araraquara,XII,ARARAQUARA,35031,CENTRAL DO DRS III,350320
37,10,Piracicaba,XX,PIRACICABA,35101,ARARAS,350330
38,9,Marília,XIX,MARÍLIA,35095,TUPÃ,350335
39,6,Bauru,XV,BAURU,35062,BAURU,350340
40,17,Taubaté,XXXIII,TAUBATÉ,35172,CIRCUITO DA FÉ - VALE HISTÓRICO,350350
41,6,Bauru,XVI,BOTUCATU,35063,POLO CUESTA,350360
42,15,São José do Rio Preto,XXIX,SÃO JOSÉ DO RIO PRETO,35151,CATANDUVA,350370
43,7,Campinas,XVII,CAMPINAS,35072,REG METRO CAMPINAS,350380
44,1,São Paulo,VIII,MOGI DAS CRUZES,35011,ALTO DO TIETÊ,350390
45,15,São José do Rio Preto,XXX,JALES,35153,JALES,350395
46,9,Marília,XIII,ASSIS,35092,ASSIS,350400
47,7,Campinas,XVII,CAMPINAS,35071,BRAGANÇA,350410
