,Municipio,SE01,SE02,SE03,SE04,SE05,SE06,SE07,SE08,SE09,SE10,SE11,SE12,SE13
0,Adamantina,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Adolfo,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Aguaí,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Águas da Prata,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Águas de Lindóia,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Águas de Santa Bárbara,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Águas de São Pedro,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Agudos,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Alambari,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Alfredo Marcondes,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Altair,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Altinópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Alto Alegre,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Alumínio,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Álvares Florence,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Álvares Machado,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Álvaro de Carvalho,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Alvinlândia,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Americana,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Américo Brasiliense,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Américo de Campos,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Amparo,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Analândia,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Andradina,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Angatuba,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Anhembi,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Anhumas,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Aparecida,0,0,0,0,0,0,0,0,0,1,0,0,0
28,Aparecida d'Oeste,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Apiaí,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Araçariguama,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Araçatuba,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Araçoiaba da Serra,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Aramina,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Arandu,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Arapeí,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Araraquara,0,0,0,0,1,0,0,0,0,0,0,0,0
37,Araras,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Arco-Íris,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Arealva,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Areias,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Areiópolis,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Ariranha,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Artur Nogueira,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Arujá,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Aspásia,0,0,0,0,0,0,0,0,0,0,0,0,0
46,Assis,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Atibaia,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Auriflama,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Avaí,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Avanhandava,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Avaré,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Bady Bassitt,0,0,0,0,0,0,0,0,0,0,0,0,0
53,Balbinos,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Bálsamo,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Bananal,0,0,0,0,0,0,0,0,0,0,0,0,0
