,Num_Municipio,Municipio,Janeiro_Autoc,Fevereiro_Autoc,Março_Autoc
0,350010,Adamantina,0,0,0
1,350020,Adolfo,0,0,0
2,350030,Aguaí,0,0,0
3,350040,Águas da Prata,0,0,0
4,350050,Águas de Lindóia,0,0,0
5,350055,Águas de Santa Bárbara,0,0,0
6,350060,Águas de São Pedro,0,0,0
7,350070,Agudos,0,0,0
8,350075,Alambari,0,0,0
9,350080,Alfredo Marcondes,0,0,0
10,350090,Altair,0,0,0
11,350100,Altinópolis,0,0,0
12,350110,Alto Alegre,0,0,0
13,350115,Alumínio,0,0,0
14,350120,Álvares Florence,0,0,0
15,350130,Álvares Machado,0,0,0
16,350140,Álvaro de Carvalho,0,0,0
17,350150,Alvinlândia,0,0,0
18,350160,Americana,0,0,1
19,350170,Américo Brasiliense,0,0,0
20,350180,Américo de Campos,1,0,0
21,350190,Amparo,0,0,0
22,350200,Analândia,0,0,0
23,350210,Andradina,0,0,0
24,350220,Angatuba,0,0,0
25,350230,Anhembi,0,0,0
26,350240,Anhumas,0,0,0
27,350250,Aparecida,0,0,1
28,350260,Aparecida d'Oeste,0,0,0
29,350270,Apiaí,0,0,0
30,350275,Araçariguama,0,0,0
31,350280,Araçatuba,0,0,0
32,350290,Araçoiaba da Serra,0,0,0
33,350300,Aramina,0,0,0
34,350310,Arandu,0,0,0
35,350315,Arapeí,0,0,0
36,350320,Araraquara,0,1,0
37,350330,Araras,0,0,0
38,350335,Arco-Íris,0,0,0
39,350340,Arealva,0,0,0
40,350350,Areias,0,0,0
41,350360,Areiópolis,0,0,0
42,350370,Ariranha,0,0,0
43,350380,Artur Nogueira,0,0,0
44,350390,Arujá,0,0,0
45,350395,Aspásia,0,0,0
46,350400,Assis,0,0,0
47,350410,Atibaia,0,0,0
48,350420,Auriflama,0,0,0
49,350430,Avaí,0,0,0
50,350440,Avanhandava,0,0,0
51,350450,Avaré,0,0,0
52,350460,Bady Bassitt,0,0,0
53,350470,Balbinos,0,0,0
54,350480,Bálsamo,0,0,0
55,350490,Bananal,0,0,0
56,350500,Barão de Antonina,0,0,0
57,350510,Barbosa,0,0,0
58,350520,Bariri,0,0,0
59,350530,Barra Bonita,0,0,0
60,350535,Barra do Chapéu,0,0,0
61,350540,Barra do Turvo,0,0,0
62,350550,Barretos,4,9,31
63,350560,Barrinha,0,0,0
64,350570,Barueri,0,0,0
65,350580,Bastos,0,0,0
66,350590,Batatais,0,0,0
67,350600,Bauru,0,0,0
